country,sex,age_group,population_000
afg,f,15_24,2463.368896484375
afg,f,15_64,6387.30908203125
afg,f,25_54,3448.69189453125
afg,f,25_34,1682.3179931640625
afg,f,35_54,1766.3740234375
afg,f,55_64,475.24798583984375
afg,f,65_plus,308.4840087890625
afg,mf,15_plus,14211.271484375
afg,mf,15_24,5203.9111328125
afg,mf,15_64,13599.533203125
afg,mf,25_54,7438.634765625
afg,mf,25_34,3633.242919921875
afg,mf,35_54,3805.39208984375
afg,mf,55_64,956.9869995117188
afg,mf,65_plus,611.739013671875
afg,m,15_plus,7322.7919921875
afg,m,15_24,2687.12109375
afg,m,15_64,7030.9619140625
afg,m,25_54,3875.236083984375
afg,m,25_34,1893.72705078125
afg,m,35_54,1981.509033203125
afg,m,55_64,468.6050109863281
afg,m,65_plus,291.8299865722656
afg,f,15_plus,6888.47998046875
afg,f,15_24,2516.7900390625
afg,f,15_64,6568.57080078125
afg,f,25_54,3563.39892578125
afg,f,25_34,1739.5159912109375
afg,f,35_54,1823.883056640625
afg,f,55_64,488.3819885253906
afg,f,65_plus,319.90899658203125
afg,mf,15_plus,14655.17578125
afg,mf,15_24,5359.1357421875
afg,mf,15_64,14018.9658203125
afg,mf,25_54,7673.26416015625
afg,mf,25_34,3732.7451171875
afg,mf,35_54,3940.51904296875
afg,mf,55_64,986.5660400390625
afg,mf,65_plus,636.2100219726562
afg,m,15_plus,7542.81396484375
afg,m,15_24,2768.198974609375
afg,m,15_64,7240.791015625
afg,m,25_54,3987.926025390625
afg,m,25_34,1937.094970703125
afg,m,35_54,2050.8310546875
afg,m,55_64,484.6659851074219
afg,m,65_plus,302.02301025390625
afg,f,15_plus,7112.36181640625
afg,f,15_24,2590.93701171875
afg,f,15_64,6778.1748046875
afg,f,25_54,3685.337890625
afg,f,25_34,1795.6500244140625
afg,f,35_54,1889.68798828125
afg,f,55_64,501.8999938964844
afg,f,65_plus,334.18701171875
afg,mf,15_plus,15239.9287109375
afg,mf,15_24,5614.4130859375
afg,mf,15_64,14574.529296875
afg,mf,25_54,7949.49609375
afg,mf,25_34,3863.5341796875
afg,mf,35_54,4085.9619140625
afg,mf,55_64,1010.6200561523438
afg,mf,65_plus,665.4000244140625
afg,m,15_plus,7852.2021484375
afg,m,15_24,2902.93798828125
afg,m,15_64,7537.6982421875
afg,m,25_54,4135.9482421875
afg,m,25_34,2006.3179931640625
afg,m,35_54,2129.6298828125
afg,m,55_64,498.81201171875
afg,m,65_plus,314.5039978027344
afg,f,15_plus,7387.72705078125
afg,f,15_24,2711.47509765625
afg,f,15_64,7036.8310546875
afg,f,25_54,3813.548095703125
afg,f,25_34,1857.2159423828125
afg,f,35_54,1956.33203125
afg,f,55_64,511.8080139160156
afg,f,65_plus,350.89599609375
afg,mf,15_plus,15918.927734375
afg,mf,15_24,5912.5419921875
afg,mf,15_64,15220.107421875
afg,mf,25_54,8268.845703125
afg,mf,25_34,4011.76708984375
afg,mf,35_54,4257.0791015625
afg,mf,55_64,1038.718994140625
afg,mf,65_plus,698.8209838867188
afg,m,15_plus,8213.8427734375
afg,m,15_24,3058.966064453125
afg,m,15_64,7885.412109375
afg,m,25_54,4310.5810546875
afg,m,25_34,2086.865966796875
afg,m,35_54,2223.715087890625
afg,m,55_64,515.864990234375
afg,m,65_plus,328.4309997558594
afg,f,15_plus,7705.0849609375
afg,f,15_24,2853.575927734375
afg,f,15_64,7334.69482421875
afg,f,25_54,3958.264892578125
afg,f,25_34,1924.9010009765625
afg,f,35_54,2033.364013671875
afg,f,55_64,522.85400390625
afg,f,65_plus,370.3900146484375
afg,mf,15_plus,16665.12109375
afg,mf,15_24,6238.2255859375
afg,mf,15_64,15930.455078125
afg,mf,25_54,8621.685546875
afg,mf,25_34,4174.205078125
afg,mf,35_54,4447.48095703125
afg,mf,55_64,1070.54296875
afg,mf,65_plus,734.666015625
afg,m,15_plus,8611.9658203125
afg,m,15_24,3227.84912109375
afg,m,15_64,8268.662109375
afg,m,25_54,4505.56494140625
afg,m,25_34,2176.614013671875
afg,m,35_54,2328.950927734375
afg,m,55_64,535.2479858398438
afg,m,65_plus,343.3039855957031
afg,f,15_plus,8053.15478515625
afg,f,15_24,3010.376953125
afg,f,15_64,7661.79296875
afg,f,25_54,4116.12109375
afg,f,25_34,1997.5909423828125
afg,f,35_54,2118.530029296875
afg,f,55_64,535.2949829101562
afg,f,65_plus,391.36199951171875
afg,mf,15_plus,17435.9296875
afg,mf,15_24,6568.19189453125
afg,mf,15_64,16665.8984375
afg,mf,25_54,8992.3232421875
afg,mf,25_34,4345.3701171875
afg,mf,35_54,4646.953125
afg,mf,55_64,1105.384033203125
afg,mf,65_plus,770.030029296875
afg,m,15_plus,9022.173828125
afg,m,15_24,3397.284912109375
afg,m,15_64,8663.9150390625
afg,m,25_54,4710.6279296875
afg,m,25_34,2271.839111328125
afg,m,35_54,2438.7890625
afg,m,55_64,556.0020141601562
afg,m,65_plus,358.2590026855469
afg,f,15_plus,8413.7548828125
afg,f,15_24,3170.906982421875
afg,f,15_64,8001.98388671875
afg,f,25_54,4281.69482421875
afg,f,25_34,2073.531005859375
afg,f,35_54,2208.1640625
afg,f,55_64,549.3820190429688
afg,f,65_plus,411.77099609375
afg,mf,15_plus,18201.23046875
afg,mf,15_24,6884.74609375
afg,mf,15_64,17398.12109375
afg,mf,25_54,9370.6552734375
afg,mf,25_34,4522.18310546875
afg,mf,35_54,4848.47216796875
afg,mf,55_64,1142.718994140625
afg,mf,65_plus,803.1099853515625
afg,m,15_plus,9426.912109375
afg,m,15_24,3558.02587890625
afg,m,15_64,9054.2353515625
afg,m,25_54,4918.701171875
afg,m,25_34,2369.947021484375
afg,m,35_54,2548.75390625
afg,m,55_64,577.5079956054688
afg,m,65_plus,372.677001953125
afg,f,15_plus,8774.318359375
afg,f,15_24,3326.719970703125
afg,f,15_64,8343.884765625
afg,f,25_54,4451.9541015625
afg,f,25_34,2152.236083984375
afg,f,35_54,2299.718017578125
afg,f,55_64,565.2109985351562
afg,f,65_plus,430.4330139160156
afg,mf,15_plus,18915.443359375
afg,mf,15_24,7156.1962890625
afg,mf,15_64,18075.162109375
afg,mf,25_54,9739.5810546875
afg,mf,25_34,4686.33984375
afg,mf,35_54,5053.2412109375
afg,mf,55_64,1179.385009765625
afg,mf,65_plus,840.281005859375
afg,m,15_plus,9793.1064453125
afg,m,15_24,3694.611083984375
afg,m,15_64,9402.716796875
afg,m,25_54,5110.34521484375
afg,m,25_34,2454.569091796875
afg,m,35_54,2655.77587890625
afg,m,55_64,597.760986328125
afg,m,65_plus,390.3890075683594
afg,f,15_plus,9122.3369140625
afg,f,15_24,3461.5849609375
afg,f,15_64,8672.4453125
afg,f,25_54,4629.23583984375
afg,f,25_34,2231.77099609375
afg,f,35_54,2397.465087890625
afg,f,55_64,581.6240234375
afg,f,65_plus,449.8919982910156
afg,mf,15_plus,19601.302734375
afg,mf,15_24,7410.56787109375
afg,mf,15_64,18727.357421875
afg,mf,25_54,10099.3544921875
afg,mf,25_34,4843.47900390625
afg,mf,35_54,5255.875
afg,mf,55_64,1217.4349365234375
afg,mf,65_plus,873.9450073242188
afg,m,15_plus,10142.8984375
afg,m,15_24,3822.97607421875
afg,m,15_64,9736.0771484375
afg,m,25_54,5295.01513671875
afg,m,25_34,2534.909912109375
afg,m,35_54,2760.10498046875
afg,m,55_64,618.0859985351562
afg,m,65_plus,406.8210144042969
afg,f,15_plus,9458.404296875
afg,f,15_24,3587.592041015625
afg,f,15_64,8991.2802734375
afg,f,25_54,4804.3388671875
afg,f,25_34,2308.569091796875
afg,f,35_54,2495.77001953125
afg,f,55_64,599.3489990234375
afg,f,65_plus,467.1239929199219
afg,mf,15_plus,20276.388671875
afg,mf,15_24,7652.19921875
afg,mf,15_64,19370.8203125
afg,mf,25_54,10460.94140625
afg,mf,25_34,5001.412109375
afg,mf,35_54,5459.5302734375
afg,mf,55_64,1257.6800537109375
afg,mf,65_plus,905.5679931640625
afg,m,15_plus,10485.6103515625
afg,m,15_24,3945.31591796875
afg,m,15_64,10063.1826171875
afg,m,25_54,5478.73486328125
afg,m,25_34,2614.735107421875
afg,m,35_54,2864.0
afg,m,55_64,639.1320190429688
afg,m,65_plus,422.427001953125
afg,f,15_plus,9790.779296875
afg,f,15_24,3706.883056640625
afg,f,15_64,9307.6376953125
afg,f,25_54,4982.20703125
afg,f,25_34,2386.677001953125
afg,f,35_54,2595.530029296875
afg,f,55_64,618.5479736328125
afg,f,65_plus,483.1409912109375
afg,mf,15_plus,20969.30078125
afg,mf,15_24,7888.91796875
afg,mf,15_64,20031.97265625
afg,mf,25_54,10841.6953125
afg,mf,25_34,5172.095703125
afg,mf,35_54,5669.59912109375
afg,mf,55_64,1301.360107421875
afg,mf,65_plus,937.3280029296875
afg,m,15_plus,10836.359375
afg,m,15_24,4065.366943359375
afg,m,15_64,10398.4384765625
afg,m,25_54,5671.2158203125
afg,m,25_34,2699.951904296875
afg,m,35_54,2971.263916015625
afg,m,55_64,661.85498046875
afg,m,65_plus,437.9209899902344
afg,f,15_plus,10132.9423828125
afg,f,15_24,3823.551025390625
afg,f,15_64,9633.53515625
afg,f,25_54,5170.47900390625
afg,f,25_34,2472.14404296875
afg,f,35_54,2698.3349609375
afg,f,55_64,639.5050048828125
afg,f,65_plus,499.4070129394531
alb,mf,15_plus,2208.552978515625
alb,mf,15_24,624.6820068359375
alb,mf,15_64,2027.988037109375
alb,mf,25_54,1206.032958984375
alb,mf,25_34,556.217041015625
alb,mf,35_54,649.8159790039062
alb,mf,55_64,197.27301025390625
alb,mf,65_plus,180.56500244140625
alb,m,15_plus,1127.4940185546875
alb,m,15_24,320.42999267578125
alb,m,15_64,1045.8919677734375
alb,m,25_54,620.9990234375
alb,m,25_34,283.3869934082031
alb,m,35_54,337.61199951171875
alb,m,55_64,104.46299743652344
alb,m,65_plus,81.60199737548828
alb,f,15_plus,1081.0589599609375
alb,f,15_24,304.25201416015625
alb,f,15_64,982.0960083007812
alb,f,25_54,585.0339965820312
alb,f,25_34,272.8299865722656
alb,f,35_54,312.2040100097656
alb,f,55_64,92.80999755859375
alb,f,65_plus,98.96299743652344
alb,mf,15_plus,2200.68896484375
alb,mf,15_24,606.3270263671875
alb,mf,15_64,2015.406005859375
alb,mf,25_54,1206.4530029296875
alb,mf,25_34,548.3920288085938
alb,mf,35_54,658.06103515625
alb,mf,55_64,202.62600708007812
alb,mf,65_plus,185.2830047607422
alb,m,15_plus,1112.9119873046875
alb,m,15_24,307.8900146484375
alb,m,15_64,1029.22705078125
alb,m,25_54,614.302978515625
alb,m,25_34,276.0299987792969
alb,m,35_54,338.27301025390625
alb,m,55_64,107.03399658203125
alb,m,65_plus,83.68499755859375
alb,f,15_plus,1087.7769775390625
alb,f,15_24,298.43701171875
alb,f,15_64,986.1790161132812
alb,f,25_54,592.1500244140625
alb,f,25_34,272.36199951171875
alb,f,35_54,319.7879943847656
alb,f,55_64,95.59200286865234
alb,f,65_plus,101.5979995727539
alb,mf,15_plus,2175.9140625
alb,mf,15_24,587.6619873046875
alb,mf,15_64,1986.7650146484375
alb,mf,25_54,1192.383056640625
alb,mf,25_34,532.0139770507812
alb,mf,35_54,660.3689575195312
alb,mf,55_64,206.72000122070312
alb,mf,65_plus,189.1490020751953
alb,m,15_plus,1086.6510009765625
alb,m,15_24,295.0419921875
alb,m,15_64,1001.4299926757812
alb,m,25_54,597.9650268554688
alb,m,25_34,263.2950134277344
alb,m,35_54,334.6700134277344
alb,m,55_64,108.4229965209961
alb,m,65_plus,85.22100067138672
alb,f,15_plus,1089.262939453125
alb,f,15_24,292.6199951171875
alb,f,15_64,985.3350219726562
alb,f,25_54,594.4180297851562
alb,f,25_34,268.718994140625
alb,f,35_54,325.6990051269531
alb,f,55_64,98.2969970703125
alb,f,65_plus,103.9280014038086
alb,mf,15_plus,2143.01806640625
alb,mf,15_24,571.573974609375
alb,mf,15_64,1950.41796875
alb,mf,25_54,1168.7490234375
alb,mf,25_34,509.8219909667969
alb,mf,35_54,658.927001953125
